textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2018-12/31/2018), Quarter 3 (07/01/2018-09/30/2018), Quarter 2 (04/01/2018-06/30/2018), Quarter 1 (01/01/2018-03/31/2018)",All,All,All,8/1/2023 9:23:16 AM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2018,Commercial Residential - (Apartment Buildings) - WIND ONLY,"1,488",63,49,0,0,37,0,"1,242,228,401","10,590,058","1,488",0,"10,590,058",0,0,2,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - (Condo Associations Only) - WIND ONLY,"2,041",79,64,0,0,48,0,"6,155,069,315","29,613,938","2,041",0,"29,613,938",0,0,2,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - (Homeowners Association) - WIND ONLY,118,4,0,0,0,1,0,"454,761,102","2,040,413",118,0,"2,040,413",0,0,0,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - Allied Lines (Condo Associations Only),643,0,17,0,0,64,0,"7,285,782,624","177,628,511",643,0,"177,628,511",0,0,0,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - Allied Lines (Excl Condo Associations),450,8,20,0,0,25,3,"2,802,239,937","5,785,533",447,"16,786,965","5,689,207","96,326",2,1,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - CMP (Condo Associations Only),"2,078",72,121,0,0,175,707,"17,250,861,260","65,283,197","1,371","2,741,583,466","61,386,012","3,897,185",5,0,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - CMP (Excl Condo Associations),"10,332",367,76,0,0,737,943,"3,552,760,671","32,675,817","9,389","635,035,648","30,631,264","2,044,553",19,16,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - Dwelling/Fire (Condo Associations Only),"5,790",565,30,0,0,632,54,"50,872,204,274","154,181,436","5,736","108,974,551","154,023,920","157,516",0,0,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Commercial Residential - Dwelling/Fire (Excl Condo Associations),962,83,68,0,0,30,67,"6,270,050,333","16,457,898",895,"154,451,865","16,161,069","296,829",0,0,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Personal Residential - Allied Lines,"60,632","2,373","1,305",0,0,"3,734","9,861","8,662,821,755","91,235,969","50,771","5,399,077,889","71,254,920","19,981,049",0,0,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
Period Ending  3/31/2018,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"13,985",548,72,0,0,260,0,"4,759,763,175","35,583,403","13,985",0,"35,583,403",0,0,19,,,,,,,,,,,"6,026,215","259,490","70,430",18,65,"335,494","297,072","1,936,590,092,601","9,726,454,986","5,729,143","141,484,042,981","9,366,181,991","360,272,995","3,104","10,834",,,,,,,,,,
